,replyID,replyDate,typeNameD,title,reply_object,province,city,county,zipcode,domainName,stateInfo,replyName,replyContentMain,handleTime,handleContent,url
0,17167343,2023-01-16 19:26, 投诉/求助 ,郝家庄镇岭上村供气不足供暖不足,山西省长治市上党区委书记,山西省,长治市,,140400,城建,办理中,吾***,自今年冬天入冬以来，上党区郝家庄镇岭上村天然气供气供暖都不足，每天一到做饭就没气，-15°的天气却停气，因为疫情老人小孩都待在家里，那么冷的 天停气没气，经常发生。请领导尽快解决，让老百姓过一个暖和的年，谢谢,2023-01-17 19:31,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,http://liuyan.people.com.cn/threads/content?tid=17167343&from=search
1,17163718,2023-01-16 02:38, 投诉/求助 ,西留庄留苑小区暖气,山西省太原市尖草坪区委书记,山西省,太原市,尖草坪区,140108,城建,待回复,W***,尊敬的领导您好！我们这小区暖气每年晚来不说，来了家里面才13度，而且还是断断续续的给停。每次都是天气一冷就给停气，现在这都快过年了，家里面的水管也冻烂了。一直没暖气，希望领导给解决一下,,,http://liuyan.people.com.cn/threads/content?tid=17163718&from=search
2,17038159,2022-12-28 05:10, 投诉/求助 ,煤气公司每年腊月基本白天都在停气！,山西省晋中市灵石县委书记,山西省,晋中市,灵石县,140729,城建,已办理,m***,静升镇这儿的煤气公司每年腊月白天各种停气，也不发通知，也没有公告，打电话从来打不进去。蒸馒头蒸一半停气，煮面煮一半停气，灵石当地风俗腊月做合碗煮一半停气！希望有关领导处理这个事情。,2023-01-06 04:54,尊敬的人民网网友：   您好！您的留言已收悉，现将办理结果回复如下：相关单位已协调气源厂加压时段。目前，可基本保证三餐期间的居民用气，预计1月5日后，供气状况将会好转。同时，相关单位进一步做好宣传工作，及时发布相关供气信息。在此，真诚的希望您关心灵石的经济社会发展，并对相关工作予以监督，提出宝贵意见和建议。  ,http://liuyan.people.com.cn/threads/content?tid=17038159&from=search
3,16999145,2022-12-23 08:37, 投诉/求助 ,关于洪洞县堤村乡干河村天然气每晚停气,山西省委书记蓝佛安,山西省,,,140000,三农,待回复,8***," 我们村天然气每天晚上停气，严重影响到村民们正常生活和取暖问题,很多村民在村里反应，但是不给予反馈,如今已是寒冬 腊月, 人们靠什么取暖，作为燃气用户也不知道为什么停气。没有任何通知。疫情当前又发着烧。很多老人生病。身心疲惫呀        希望以上问题能得已解决 和反馈 谢谢   ",,,http://liuyan.people.com.cn/threads/content?tid=16999145&from=search
4,16955074,2022-12-20 01:30, 建言 ,取暖问题,山西省临汾市市长李云峰,山西省,临汾市,,141000,三农,待回复,Z***,尊敬的领导你好               曲沃县裴南庄村三天两头停气，如此冷的天气，老人和孩子都在家，又不让烧煤取暖又不能正常供气让老百姓如何生活？假如老人因为没暖气而出现意外谁负责？希望能有人过问此事，不要让领导们温暖的屋子寒了老百姓的心！#人民建议#,,,http://liuyan.people.com.cn/threads/content?tid=16955074&from=search
5,16926945,2022-12-15 09:48, 投诉/求助 ,供暖问题,山西省大同市云冈区委书记,山西省,大同市,,140200,城建,已办理,W***,云岗区民荣社区新校南街76户居民，白天暖气14度，居家穿棉袄，晚上九点停气，第二天八点来气，希望得到解决。,2023-01-08 21:28, 网民朋友：         您好！针对您所反映的问题，已由民胜街道工作人员通过电话将办理情况向您进行了反馈。感谢您对我们工作的关心和支持，欢迎您继续关注云冈区的发展，并对我们的工作及时提出宝贵意见和建议。,http://liuyan.people.com.cn/threads/content?tid=16926945&from=search
6,16911197,2022-12-13 06:37, 投诉/求助 ,天然气停供,山西省临汾市尧都区委书记,山西省,临汾市,尧都区,141002,三农,已办理,W***,刘村镇兴旺庄村天然气已经停了几个月了，一直无法供气，给生活带来不便，希望领导关注一下,2022-12-20 23:09, 您好！您在人民网上反映的问题，尧都区委、区政府高度重视。立即责成刘村镇就此事进行关注了解，积极沟通协调，争取早日解决问题。   在此，感谢您的宝贵留言。同时，真诚地希望您继续关注尧都区的经济社会发展，并对相关工作予以监督，提出宝贵的意见和建议。,http://liuyan.people.com.cn/threads/content?tid=16911197&from=search
7,16819587,2022-12-02 22:20, 投诉/求助 ,新绛县金鑫小区天天停天然气和水,山西省运城市委书记丁小强,山西省,运城市,,140800,城建,已办理,W***,晚上上完班回到家都没有热水，房间也是冷冷的，问起来就是没天然气停气，天天停，请求帮助。,2022-12-15 21:21,网民朋友，您好，您的留言已收悉，我们立即责成新绛县住建局进行办理。经了解，工作人员已上门进行检查，问题已经得到解决，您对此表示满意。在此，真诚地希望您继续关心运城的经济社会发展，并对相关工作予以监督，提出宝贵的意见和建议。,http://liuyan.people.com.cn/threads/content?tid=16819587&from=search
8,16795748,2022-11-30 18:36, 投诉/求助 ,取暖问题,山西省太原市市长张新伟,山西省,太原市,,140100,城建,已办理,高***,领导你好！我们是山西省太原市小店区北格镇琦峰苑。我们的物业和崇光天然气公司供气每年取暖费一平方收5块5一平方，每年取暖不行，小区这么冷的天天供暖老晚上烧来的时间下午5点到晚上十二点停气，白天上午5点到中午10点停气，小区锅炉房的进水温度41，回水温度35度，进水有点温，回水冰凉，请领导重视解决！ 我们家里有老人和五个月的小孩家里非常冷客客厅16度，卧室14度,2022-12-19 23:36,热心网友您好！        首先非常感谢您对太原市社会事业发展的关心。现就您提问题答复如下：        经小店区政府核实：该小区取暖费为5.5元/平米/月，崇光供热公司收取4.5元供暖费，小区物业收取1元管道维护维修费。崇光供热公司每天供暖时间为4:00-12:00、14:00-24：00，根据天气变化随时延长供暖时间，随机走访住户温度均达到18℃±2℃。工作人员已于12月16日电话联系您，告知其后续如有相关问题可联系供热公司与物业进行处理，属地镇政府将督促供热公司提高供暖效率，并责成物业公司对管道进行检查。        在此，真诚地希望您继续关心太原的经济社会发展，并对相关工作予以监督，提出宝贵的意见和建议。,http://liuyan.people.com.cn/threads/content?tid=16795748&from=search
9,16756934,2022-11-27 07:18, 投诉/求助 ,中国燃气何时恢复供气,山西省长治市上党区委书记,山西省,长治市,,140400,三农,已办理,崔***,上党区北呈乡北岭头村11月12日开始停气，到现在已半个月，天气越来越冷，何时能恢复供气，让老百姓不再身寒心冷。,2022-11-30 21:59,"网民朋友：         您好！上党区委区政府对您所反映的问题高度重视，责成区住建局调查核实办理，现将办理情况回复如下。         关于您反映的北呈乡北岭头村天然气停气问题，经调查核实，北岭头村已于2022年11月29日恢复正常供气。         给您带来的不便敬请谅解,真诚地希望您继续关注我区的经济社会发展，并对我们的工作提出宝贵意见和建议。",http://liuyan.people.com.cn/threads/content?tid=16756934&from=search
