17198025,2023-01-25 07:52,河南省平顶山市代理市长李明俊,诚朴路北段乱停车现象严重,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17198025&from=search
17196859,2023-01-24 23:05,河北省沧州市委书记康彦民,之前反映中燃燃气公司停气的问题,建言,待回复,http://liuyan.people.com.cn/threads/content?tid=17196859&from=search
17196758,2023-01-24 22:24,辽宁省委书记郝鹏,供暖,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17196758&from=search
17196733,2023-01-24 22:18,四川省内江市委书记邹自景,希望过年不停水停电停气,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17196733&from=search
17196563,2023-01-24 21:26,山西省委书记蓝佛安,大过年农村停天然气，无法供暖吃饭,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17196563&from=search
17196233,2023-01-24 19:41,四川省委书记王晓晖,农村生活用水用电用天然气困难,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17196233&from=search
17196105,2023-01-24 18:48,辽宁省锦州市太和区委书记,汤河子地区供暖经常停,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17196105&from=search
17194469,2023-01-23 23:25,河北省邯郸市市长樊成华,投诉华润燃气三天两头饭点停气,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17194469&from=search
17193893,2023-01-23 19:26,河北省沧州市委书记康彦民,23年1月24号中燃燃气公司无故停止供气,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17193893&from=search
17193453,2023-01-23 10:19,山西省长治市长子县委书记,关于天然气停气,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17193453&from=search
