17196824,2023-01-24 22:48,北京市通州区委书记赵磊,龙鼎园供暖不达标,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17196824&from=search
17196544,2023-01-24 21:22,北京市海淀区委书记王合生,屋里太冷了,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17196544&from=search
17196422,2023-01-24 20:45,北京市委书记尹力,海淀区中关村水清木华园小区供暖仅15度,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17196422&from=search
17195358,2023-01-24 07:22,北京市大兴区区长刘学亮,珺悦国际小区暖气不达标,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17195358&from=search
17193710,2023-01-23 17:45,北京市昌平区委书记甘靖中,供暖温度不达标,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17193710&from=search
17186689,2023-01-20 08:07,北京市市长殷勇,住房暖气问题,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17186689&from=search
17183904,2023-01-19 19:18,北京市海淀区委书记王合生,家里温度低，供暖不达标，投诉多次，供暖部门推,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17183904&from=search
17170649,2023-01-17 05:26,北京市委书记尹力,临近春节自如房子采暖设备坏不履行维修义务,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17170649&from=search
17166366,2023-01-16 10:05,北京市委书记尹力,丰台区右安门街道翠林一里19号楼外保温,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17166366&from=search
17163286,2023-01-16 00:30,北京市房山区委书记邹劲松,红寺村街里拆迁棚改与未来规划,咨询,已办理,http://liuyan.people.com.cn/threads/content?tid=17163286&from=search
17160509,2023-01-15 10:57,北京市丰台区委书记王少峰,诺德逸府供暖不达标,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17160509&from=search
17157123,2023-01-14 22:40,北京市委书记尹力,供暖公司采取分时段供暖，半夜冻醒很多次，白天,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17157123&from=search
17156876,2023-01-14 21:51,北京市委书记尹力,宏福苑供暖一直未解决,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17156876&from=search
17153150,2023-01-14 02:01,北京市昌平区委书记甘靖中,宏福苑小区室温靠太阳,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17153150&from=search
17153053,2023-01-14 01:41,北京市委书记尹力,宏福苑小区供暖一直不热，多次投诉了没用。,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17153053&from=search
17152988,2023-01-14 01:29,北京市丰台区委书记王少峰,供暖不达标,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17152988&from=search
17137513,2023-01-11 20:29,北京市委书记尹力,大兴农村百姓冬季供暖求助,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17137513&from=search
17133666,2023-01-11 04:12,北京市石景山区区长李新,玉泉路11号院社区基本上没有供暖,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17133666&from=search
17132441,2023-01-11 01:28,北京市丰台区委书记王少峰,拖欠锅炉安装费,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17132441&from=search
17125103,2023-01-10 02:53,北京市大兴区委书记王有国,请书记百忙之中抽时间督促金房供暖诚信供暖,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17125103&from=search
17108071,2023-01-08 03:27,北京市委书记尹力,楼体需要加外墙保温（海淀区永泰东里南区）,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17108071&from=search
17086821,2023-01-04 22:45,北京市石景山区委书记常卫,玉泉路十一号院拆迁问题何时受理,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17086821&from=search
17081181,2023-01-04 02:56,北京市顺义区委书记高朋,集体供暖半年不住，不应该收暖气费。,建言,已办理,http://liuyan.people.com.cn/threads/content?tid=17081181&from=search
17072404,2023-01-02 23:58,北京市石景山区委书记常卫,石景山区60号折子工程玉泉路11号院求落实,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17072404&from=search
17062633,2023-01-01 02:37,北京市市长殷勇,良乡镇官道官融公寓供暖低,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17062633&from=search
17062608,2023-01-01 02:32,北京市市长殷勇,良乡镇鲁村公寓供暖,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17062608&from=search
17061958,2022-12-31 23:52,北京市市长殷勇,室内温度很冷不交费要强行收滞纳金,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17061958&from=search
17057802,2022-12-31 01:01,北京市房山区委书记邹劲松,四合巷小区外墙保温问题,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17057802&from=search
17045655,2022-12-29 04:22,北京市丰台区委书记王少峰,南苑北里三区供暖太冷,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17045655&from=search
17040846,2022-12-28 18:00,北京市丰台区区长初军威,供暖温度不足，致使邻居用大功率泵扰民,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17040846&from=search
17029140,2022-12-27 03:16,北京市大兴区委书记王有国,狼垡三村富民街街道存在严重消防隐患,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17029140&from=search
17026257,2022-12-26 21:25,北京市委书记尹力,供暖公司店大欺客刻板教条，不允许交当年暖气费,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17026257&from=search
17024264,2022-12-26 10:01,北京市委书记尹力,北京冬季集中供暖,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17024264&from=search
17022616,2022-12-26 06:47,北京市委书记尹力,供暖公司不给试水开阀强行收入全额暖气费,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17022616&from=search
17022208,2022-12-26 06:01,北京市朝阳区区长吴小杰,老旧小区和供暖问题,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17022208&from=search
17015778,2022-12-25 17:50,北京市委书记尹力,亦庄贵园热力供热问题,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17015778&from=search
17008134,2022-12-24 09:14,北京市海淀区委书记王合生,定慧东里三号楼供暖温度不达标，不够18度,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17008134&from=search
17003165,2022-12-23 23:01,北京市委书记尹力,丰台区自然新天地大厦物业乱收费,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17003165&from=search
17000094,2022-12-23 10:38,北京市委书记尹力,保利首开熙悦春天供暖不足,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17000094&from=search
16992460,2022-12-23 00:23,北京市委书记尹力,北京市朝阳区清友园小区供暖不热问题,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16992460&from=search
16989810,2022-12-22 21:59,北京市委书记尹力,三合南里42号楼的冬天也太冷了,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=16989810&from=search
16986284,2022-12-22 18:59,北京市委书记尹力,北京热力公司供暖不达标，多次反应,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=16986284&from=search
